Entity,Code,Day,Training dataset size
PaLI,,2022-09-14,1600000000
PaLI-X,,2023-05-29,1400000000
PaLM (540B),,2022-04-04,585000000000
PaLM 2,,2023-05-10,2700000000000
PanGu-Σ,,2023-03-20,246750000000
Paragraph Vector,,2014-05-14,75000
Part-of-sentence tagging model,,2016-05-29,912344
Parti,,2022-06-22,4800000000
Perceptron (1960),,1960-03-30,5000
Perceptron Mark I,,1957-01-01,6
Perceptron for Large Margin Classification,,1999-12-01,60000
PermuteFormer,,2021-09-06,103000000
Phrase-based translation,,2003-05-01,20000000
PhraseCond,,2017-10-28,90000
Piecewise linear model,,1973-11-01,314
PoE MNIST,,2000-01-01,60000
PolyNet,,2016-11-17,1280000
Pragmatic Theory solution (Netflix 2009),,2009-08-01,100480504
Predictive Coding NN,,1994-01-01,600000
ProBERTa,,2020-09-01,58320000
ProGen2-xlarge,,2022-06-27,350000000000
Projected GAN,,2021-11-01,3000000
ProtBERT-BFD,,2021-05-04,8900000000000
ProtT5-XXL,,2021-05-04,407000000000
ProxylessNAS,,2019-02-23,1280000
PyramidNet,,2017-09-06,50000
QMoE: compressed 1T model,,2023-10-25,576000000000
QT-Opt,,2018-06-27,5984870
Qwen-72B,,2023-11-30,3000000000000
Qwen-VL,,2023-08-24,1400000000
Qwen2-72B,,2024-06-07,7000000000000
Qwen2.5-72B,,2024-09-19,18000000000000
R-FCN,,2016-06-21,94427
RAAM,,1990-11-01,29
RBM Image Classifier,,2009-04-08,2000000
RCTM,,2013-10-01,4100000
RETRO-7B,,2022-02-07,419430400000
RNN 500/10 + RT09 LM (NIST RT05),,2010-09-26,5400000
RNN LM,,2010-01-01,6400000
RNN for 1B words,,2013-12-11,1000000000
RNN-SpeedUp,,2011-05-22,697500
RNN-WER,,2014-06-22,1100000
RNNsearch-50*,,2014-09-01,348000000
RNTN,,2013-10-01,155063
Random Decision Forests,,1995-08-14,60000
RankNet,,2005-08-07,3464289
ReALM,,2024-03-29,16300
ReLU (NORB),,2010-06-15,291600
Recursive Neural Network,,2011-06-28,833333
Regularized SVD for Collaborative Filtering,,2007-08-12,100480504
ResNeXt-101 32x48d,,2018-05-02,9525000000
ResNet-152 (ImageNet),,2015-12-10,1280000
ResNet-152 + ObjectNet,,2019-09-06,50000
ResNet-200,,2016-09-17,1281167
ResNet-50 Billion-scale,,2019-05-02,1090000000
Restricted Bolzmann machines,,2007-06-20,100480504
RetinaNet-R101,,2017-08-07,135000
RoBERTa Large,,2019-07-01,32000000000
S-Norm,,2017-10-29,2000000000
SACHS,,2005-04-22,5400
SB-LM,,2007-06-22,1800000000000
SC-NLM,,2014-11-10,600000
SEER,,2021-07-29,1000000000
SOM-CNN,,1997-01-01,200
SPIDER2,,2016-10-28,13893600
SPPNet,,2014-06-18,1280000
SRN-Encoded Grammatical Structures,,1991-09-01,177805
SSD,,2015-12-08,115000
ST-MoE,,2022-02-17,1500000000000
SVM for face detection,,1997-06-17,50000
Samuel Neural Checkers,,1959-07-01,53000
SciBERT,,2019-03-26,3300000000
Segment Anything Model,,2023-04-05,1100000000
Self Organizing System,,1955-03-01,256
Semantic Hashing,,2008-12-10,310521
Seq2Seq LSTM,,2014-09-10,652000000
SexNet classification,,1990-10-01,80
SexNet compression,,1990-10-01,90
Show-1,,2023-09-27,10700000
Siamese-TDNN,,1993-08-01,7701
SimCLRv2,,2020-10-26,1280000
Skywork-13B,,2023-10-30,3180000000000
SmooCT,,2014-07-01,12000000000
Social and content-based classification,,1998-07-01,45000
Sparse Energy-Based Model,,2006-12-04,60000
Sparse Non-negative Matrix (SNM) estimation,,2014-12-03,1000000000
Sparse Vision Encoding,,2006-11-01,2000
Sparse all-MLP,,2022-04-14,100000000000
Sparse coding model for V1 receptive fields,,1997-12-01,10
Spatiotemporal fusion ConvNet,,2016-06-01,97200
Speaker-independent vowel classification,,1989-01-01,4104
Stable Diffusion (LDM-KL-8-G),,2022-04-13,400000000
StarCoder,,2023-05-09,1000000000000
Statement Curriculum Learning,,2022-03-02,275000000000
Statistical continuous speech recognizer,,1976-04-30,12000
Super-vector coding,,2010-01-01,1000000
Support Vector Machines,,1995-09-01,60000
Switch,,2021-01-11,576000000000
System 11,,1996-06-18,9050
T5-11B,,2019-10-23,200000000000
T5-3B,,2019-10-23,25500000000
TD-Gammon,,1992-05-01,6300000
Tacotron 2,,2017-12-19,340000
Theseus,,1950-07-02,40
Thumbs Up?,,2002-05-28,2053
TrOCR,,2021-09-21,721200000
TransE,,2013-12-05,17000000
Transformer,,2017-06-12,1866666600
Transformer (Adaptive Input Embeddings) WT103,,2018-09-28,100000000
Transformer local-attention (NesT-B),,2021-05-26,1280000
Turing-NLG,,2020-02-13,46400000000
Two Stage Feature Extraction for Object Recognition,,2009-09-29,60000
UL2,,2022-05-10,1000000000000
ULM-FiT,,2018-01-18,103000000
UnifiedQA,,2020-05-02,97309860
Unsupervised High-level Feature Learner,,2012-07-12,10000000
Unsupervised Scale-Invariant Learning,,2003-06-18,3500
VALL-E,,2023-01-05,820800000
VGG16,,2014-09-04,1300000
VGG19,,2014-09-04,1300000
Vector Space Model,,2011-06-19,75000
ViT-22B,,2023-02-10,4000000000
ViT-G/14,,2021-06-08,3000000000
ViT-G/14 (LiT),,2021-11-15,4000000000
ViT-Huge/14,,2020-10-22,1280000
Weight Decay,,1991-12-02,5000
Whisper,,2022-09-21,9302400000
Word Representations,,2010-06-01,37000000
Word2Vec (large),,2013-10-16,33000000000
Word2Vec (small),,2013-10-16,692000
XGLM-7.5B,,2021-12-20,1740000000
XLM-RoBERTa,,2019-11-05,125250000000
XLMR-XXL,,2021-08-17,167000000000
Xception,,2016-10-07,350000000
YOLOX-X,,2021-08-06,2500000
YOLOv3,,2018-04-08,1281167
Yi-34B,,2023-11-02,3100000000000
YouTube Video Recommendation System,,2010-09-26,10000000000
Yuan 1.0,,2021-10-12,1000000000000
Zip CNN,,1989-12-01,7291
data2vec (language),,2022-01-20,3300000000
