Entity,Code,Year,Private investment in AI in China,Private investment in AI in the United States,Private investment in AI in the European Union and United Kingdom,Global private investment in AI
Marketing and digital ads,,2023,364611196,364611196,71143648,942653335
Medical and healthcare,,2017,99491348,320583231,66327565,641166462
Medical and healthcare,,2018,194238268,625878863,129492179,1122265548
Medical and healthcare,,2019,264973486,1568643039,233176668,2342365618
Medical and healthcare,,2020,1046978507,3653954990,293153982,5412878882
Medical and healthcare,,2021,2670000000,6730000000,870000000,11460000000
Medical and healthcare,,2022,1333298843,4805431247,1018492172,8499780124
Medical and healthcare,,2023,426861888,2436669942,471326668,3735041517
Natural Language Processing and customer support,,2017,254255666,740657810,88436753,1249169142
Natural Language Processing and customer support,,2018,1564697158,895654235,183447253,3097021271
Natural Language Processing and customer support,,2019,561743791,3550644716,360363941,5193480331
Natural Language Processing and customer support,,2020,774764095,3004828315,502549683,4721873067
Natural Language Processing and customer support,,2021,2980000000,11950000000,1870000000,17760000000
Natural Language Processing and customer support,,2022,648131382,4731359089,1361075902,8870140914
Natural Language Processing and customer support,,2023,533577360,4819982148,1058261763,7167722529
Quantum computing,,2017,77382159,55272971,,132655130
Quantum computing,,2018,0,,0,75537104
Quantum computing,,2019,,84791516,0,169583031
Quantum computing,,2020,,272214412,10469785,345502907
Quantum computing,,2021,50000000,380000000,,570000000
Quantum computing,,2022,138885296,296288632,0,694426481
Quantum computing,,2023,0,1636303902,71143648,1751912330
Retail,,2017,66327565,110545942,11054594,187928101
Retail,,2018,64746089,97119134,0,172656238
Retail,,2019,74192576,31796818,21197879,137786213
Retail,,2020,397851833,157046776,31409355,638656889
Retail,,2021,90000000,480000000,90000000,780000000
Retail,,2022,46295099,564800204,120367257,870347856
Retail,,2023,106715472,311253460,71143648,595828051
Semiconductor,,2017,187928101,33163783,110545942,364801608
Semiconductor,,2018,43164060,172656238,43164060,312939432
Semiconductor,,2019,243775607,169583031,84791516,646535306
Semiconductor,,2020,198925916,481610113,732884955,1696105182
Semiconductor,,2021,1250000000,470000000,80000000,2230000000
Semiconductor,,2022,768498639,1370334922,101849217,2453640232
Semiconductor,,2023,560256227,702543523,124501384,1476230695
Total,,2013,721168187,4210691675,616482483,6013612143
Total,,2014,766886394,7966461649,1373527871,10942438702
Total,,2015,2389393064,10632227508,903167713,15262391101
Total,,2016,5103111753,11459421303,1309648149,19339890338
Total,,2017,7318141347,15553814011,2686266386,28432416231
Total,,2018,15075047787,22715086323,2956738077,46509274133
Total,,2019,14891509927,33990798816,6232176397,61664629720
Total,,2020,17128568376,37869212602,5643214153,67027564025
Total,,2021,23080000000,79560000000,12550000000,132360000000
Total,,2022,12879296463,50989421725,11860804291,95738264144
Total,,2023,6900933850,59778450177,9782251591,85363484565
Venture capital,,2017,,110545942,11054594,132655130
Venture capital,,2018,118701164,53955074,,183447253
Venture capital,,2019,10598939,84791516,31796818,169583031
Venture capital,,2020,251274842,638656889,10469785,952750441
Venture capital,,2021,60000000,850000000,0,1660000000
Venture capital,,2022,,138885296,27777059,1166636488
Venture capital,,2023,88929560,204537988,0,453540756
