Entity,Code,Year,Annual number of AI systems by researcher affiliation
Industry,,1960,0
Industry,,1962,1
Industry,,1963,1
Industry,,1965,0
Industry,,1966,1
Industry,,1968,0
Industry,,1969,0
Industry,,1970,0
Industry,,1973,0
Industry,,1975,1
Industry,,1976,0
Industry,,1977,0
Industry,,1979,0
Industry,,1980,1
Industry,,1981,0
Industry,,1982,0
Industry,,1983,0
Industry,,1984,1
Industry,,1986,0
Industry,,1987,0
Industry,,1988,1
Industry,,1989,3
Industry,,1990,0
Industry,,1991,0
Industry,,1992,2
Industry,,1993,2
Industry,,1994,0
Industry,,1995,2
Industry,,1996,1
Industry,,1997,2
Industry,,1998,1
Industry,,1999,0
Industry,,2000,0
Industry,,2001,1
Industry,,2002,1
Industry,,2003,1
Industry,,2004,0
Industry,,2005,1
Industry,,2006,0
Industry,,2007,4
Industry,,2008,2
Industry,,2009,6
Industry,,2010,2
Industry,,2011,0
Industry,,2012,3
Industry,,2013,8
Industry,,2014,5
Industry,,2015,13
Industry,,2016,21
Industry,,2017,23
Industry,,2018,24
Industry,,2019,34
Industry,,2020,27
Industry,,2021,45
Industry,,2022,46
Industry,,2023,59
Other,,1950,0
Other,,1952,0
Other,,1954,0
Other,,1955,0
Other,,1957,0
Other,,1959,0
Other,,1960,0
Other,,1962,0
Other,,1963,0
Other,,1965,0
Other,,1966,0
Other,,1968,0
Other,,1969,0
Other,,1970,0
Other,,1973,0
Other,,1975,0
Other,,1976,0
Other,,1977,0
Other,,1979,0
Other,,1980,0
Other,,1981,0
Other,,1982,0
Other,,1983,0
Other,,1984,0
Other,,1986,0
Other,,1987,0
Other,,1988,0
Other,,1989,0
Other,,1990,4
Other,,1991,1
Other,,1992,2
Other,,1993,1
Other,,1994,3
Other,,1995,0
Other,,1996,1
Other,,1997,1
Other,,1998,0
Other,,1999,0
Other,,2000,0
Other,,2001,0
Other,,2002,0
Other,,2003,0
Other,,2004,1
Other,,2005,1
Other,,2006,0
Other,,2007,0
Other,,2008,0
Other,,2009,0
Other,,2010,0
Other,,2011,0
Other,,2012,0
Other,,2013,0
Other,,2014,1
Other,,2015,2
Other,,2016,2
Other,,2017,2
Other,,2018,2
Other,,2019,5
Other,,2020,6
Other,,2021,3
Other,,2022,3
Other,,2023,3
