Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
DQN,,2013-12-19,2.3000002,836096,Industry
DQN-2015,,2015-02-25,,1693362,Industry
DeBERTa,,2021-06-10,25880000,1500000000,Industry
DeBERTaV3-large + KEAR,,2021-12-06,,418000000,Industry
DeLighT,,2020-08-03,24000,99000000,Other
DeViSE,,2013-12-05,,,Industry
Decision tree (classification),,2001-12-08,0.063,120000000,Industry
Decision tree adaline,,1969-05-01,,2450,Academia
Deconvolutional Network,,2010-06-13,,,Academia
Decoupled weight decay regularization,,2019-01-04,2470.0002,36500000,Academia
Deep Belief Nets,,2006-07-18,,1600000,Academia
Deep Blue,,1997-05-01,,8000,Industry
Deep Boltzmann Machines,,2009-04-16,,,Academia
Deep Deterministic Policy Gradients,,2015-09-09,,,Industry
Deep LSTM video classifier,,2015-05-01,,,Academia and industry collaboration
Deep Multitask NLP Network,,2008-07-05,,1500000,Industry
Deep rectifier networks,,2011-04-13,,,Academia
DeepFace,,2014-06-23,,,Academia and industry collaboration
DeepLab,,2014-12-22,,,Academia and industry collaboration
DeepLab (2017),,2017-04-27,,,Academia and industry collaboration
DeepLabV3,,2017-06-17,,,Industry
DeepLabV3+,,2018-02-07,,,Industry
DeepNash,,2022-12-01,,,Industry
DeepNet,,2022-03-01,,3200000000,Industry
DeepSeek-Coder-V2 236B,,2024-06-17,1285200000,236000002048,Industry
DeepSpeech2 (English),,2015-12-08,26000,38000000,Industry
DeepStack,,2017-01-06,14463.36,2500000,Academia
Deeply-recursive ConvNet,,2016-11-11,,,Academia
Deeply-supervised nets,,2014-09-18,,,Industry
DeiT-B,,2021-01-15,78840,86000000,Academia and industry collaboration
Denoising Autoencoders,,2008-07-05,,,Academia
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021-06-11,380000.03,256000000,Academia
DenseNet-264,,2016-08-25,,34000000,Academia and industry collaboration
DensePhrases,,2020-12-23,2099.52,,Academia
Detic,,2022-01-07,23439.975,88000000,Academia and industry collaboration
DiT-XL/2,,2023-03-02,600000,675000000,Academia
DiT-XL/2 + CADS,,2023-10-26,,675000000,Academia
DiT-XL/2 + Discriminator Guidance,,2022-11-28,,,Academia and industry collaboration
Diabetic Retinopathy Detection Net,,2016-12-13,,,Academia and industry collaboration
DiffDock,,2022-10-04,72000,20240000,Academia
Differentiable neural computer,,2016-10-12,,,Industry
Diffractive Deep Neural Network,,2018-04-14,,8000000000,Academia
Diffusion-GAN,,2022-06-05,,,Academia and industry collaboration
Diplodocus,,2022-10-11,,,Academia and industry collaboration
Discriminator Guidance,,2022-11-28,215700,,Academia and industry collaboration
DistBelief NNLM,,2013-01-16,2612.736,,Industry
DistBelief Speech,,2012-12-03,311.40002,47185920,Industry
DistBelief Vision,,2012-12-03,,1700000000,Industry
DistilBERT,,2019-10-02,12441.6,66000000,Industry
Distributed representation NN,,1986-01-01,3.888e-7,432,Academia
DnCNN,,2017-02-01,,,Academia and industry collaboration
Domain Adaptation,,2011-11-06,,15260,Academia
DrLIM,,2006-06-17,,37097,Academia
Dropout (CIFAR),,2012-06-03,4.2687,,Academia
Dropout (ImageNet),,2012-06-03,273.1968,,Academia
Dropout (MNIST),,2012-06-03,6.039371,5592010,Academia
Dropout (TIMIT),,2012-06-03,,48840184,Academia
Dropout-LSTM+Noise(Bernoulli) (WT2),,2018-05-03,127,51000000,Academia
Dropout: SVHN,,2014-06-01,,47795232,Academia
EDSR,,2017-06-10,,,Academia
EI-REHN-1000D,,2017-08-14,10.599999,19000000,Academia
ELECTRA,,2020-03-23,3100000,335000000,Academia and industry collaboration
ELMo,,2018-02-01,,94000000,Other
EMDR,,2021-06-09,1040000,440000000,Academia and industry collaboration
ENAS,,2018-02-09,20.1,24000000,Academia and industry collaboration
EN^2AS with performance reward,,2019-07-22,,23000000,Academia
ERNIE 3.0,,2021-07-05,22500000,10000000000,Industry
ERNIE 3.0 Titan,,2021-12-23,1042100030,260000006144,Academia and industry collaboration
ERNIE 3.5,,2023-06-27,,,Industry
ERNIE 4.0,,2023-10-17,,,Industry
ERNIE-Doc (247M),,2020-12-31,29100,247000000,Industry
ERNIE-GEN (large),,2020-08-06,200000,340000000,Industry
ERNIE-ViLG,,2021-12-31,,10000000000,Industry
ESM1b,,2020-12-15,5100000,652400000,Academia and industry collaboration
ESM2-15B,,2022-07-21,73500000,15000000512,Academia and industry collaboration
ESM3 (98B),,2024-06-25,1070000000,98500001792,Academia and industry collaboration
ESRGAN,,2018-09-01,,,Academia
EVA-01,,2022-11-14,3750943.5,1011000000,Academia
EfficientDet,,2020-07-27,,77000000,Industry
EfficientNet-L2,,2019-05-28,,480000000,Industry
EfficientNetV2-XL,,2021-06-23,95600.01,208000000,Industry
EfficientZero,,2021-10-30,,,Academia
Elastic weight consolidation,,2016-12-02,,,Industry
Empirical evaluation of deep architectures,,2007-06-01,,,Academia
EnCodec,,2022-10-24,,,Industry
Enhanced Neighborhood-Based Filtering,,2007-10-28,,,Industry
Error Propagation,,1986-01-03,,,Academia
Eve,,2021-10-27,,15010300,Academia
FAIRSEQ Adaptive Inputs,,2019-04-01,7300.0005,247000000,Industry
FAST,,2006-05-07,,,Academia
FLAN 137B,,2021-09-03,2047000000,137000001536,Industry
FTW,,2018-07-03,7260000.5,126001328,Industry
Falcon-180B,,2023-09-06,3760000300,179999997952,Other
Falcon-40B,,2023-03-15,240000000,40000000000,Other
Fast R-CNN,,2015-04-30,,,Industry
Faster R-CNN,,2015-06-04,,,Industry
Feedback Transformer,,2020-02-21,44100,126000000,Academia and industry collaboration
Feedforward NN,,2010-05-13,0.35000002,7082000,Academia
