Entity,Code,Day,Number of parameters
ERNIE-GEN (large),,2020-08-06,340000000
ERNIE-ViLG,,2021-12-31,10000000000
ESM1b,,2020-12-15,652400000
ESM2-15B,,2022-07-21,15000000000
ESM3 (98B),,2024-06-25,98500000000
EVA-01,,2022-11-14,1011000000
EfficientDet,,2020-07-27,77000000
EfficientNet-L2,,2019-05-28,480000000
EfficientNetV2-XL,,2021-06-23,208000000
Eve,,2021-10-27,15010300
FAIRSEQ Adaptive Inputs,,2019-04-01,247000000
FLAN 137B,,2021-09-03,137000000000
FTW,,2018-07-03,126001330
Falcon-180B,,2023-09-06,180000000000
Falcon-40B,,2023-03-15,40000000000
Feedback Transformer,,2020-02-21,126000000
Feedforward NN,,2010-05-13,7082000
Ferret (13B),,2023-10-11,13000000000
FinGPT-13B,,2023-10-07,13000000000
Fine-tuned-AWD-LSTM-DOC(fin),,2018-11-12,35000000
FixRes ResNeXt-101 WSL,,2019-06-14,829000000
Flamingo,,2022-04-29,80000000000
Flan T5-XXL + BLIP-2,,2023-01-30,12100000000
Flan-PaLM 540B,,2022-10-20,540000000000
Flan-T5 11B,,2022-10-20,11000000000
Florence,,2021-11-22,893000000
Fold2Seq,,2021-06-24,12427904
Fractional Max-Pooling,,2014-12-18,27000000
Fragment embedding,,2014-06-21,144496000
Fraternal dropout + AWD-LSTM 3-layer (WT2),,2017-10-31,34000000
FunSearch,,2023-12-14,15000000000
Fusion in Encoder,,2022-11-18,330000000
Fuzzy NN,,1992-09-01,1166
GBERT-Large,,2020-10-21,335000000
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),,2017-08-29,38000000
GLIDE,,2021-12-20,3500000000
GLM-130B,,2022-08-04,130000000000
GLaM,,2021-12-13,1200000000000
GNMT,,2016-09-26,278000000
GOAT,,2021-07-27,3500000
GPT-1,,2018-06-01,117000000
GPT-2 (1.5B),,2019-02-14,1500000000
GPT-3 175B (davinci),,2020-05-28,175000000000
GPT-3.5 Turbo,,2022-11-30,20000000000
GPT-NeoX-20B,,2022-02-09,20000000000
GPU DBNs,,2009-06-15,100000000
GPipe (Amoeba),,2018-11-16,557000000
GPipe (Transformer),,2018-11-16,6000000000
GShard (dense),,2020-06-30,2300000000
Galactica,,2022-11-16,120000000000
Gated HORNN (3rd order),,2016-04-30,8970000
Gato,,2022-05-12,1180000000
Gemini Nano-1,,2023-12-19,1800000000
Gemini Nano-2,,2023-12-19,3250000000
GenSLM,,2022-10-11,25000000000
Generative BST,,2021-03-05,9400000000
German ELECTRA Large,,2020-10-21,335000000
GloVe (32B),,2014-01-01,120000000
GloVe (6B),,2014-01-01,120000000
Goat-7B,,2023-05-23,7000000000
GoogLeNet / InceptionV1,,2014-09-17,6797700
Gopher (280B),,2021-12-08,280000000000
HLBL,,2008-12-08,1846400
Hanabi 4 player,,2019-02-01,764000
Handwritten Digit Recognition System,,1989-01-01,2578
Hierarchical Cognitron,,1984-04-01,9315
Hiero,,2005-06-01,120000000
Hopfield network,,1982-04-01,9900
HuBERT,,2021-07-27,1000000000
Hybrid H3-2.7B,,2022-12-28,2700000000
HyenaDNA,,2023-06-27,6600000
HyperCLOVA 204B,,2021-09-10,204000000000
HyperNEAT,,2014-03-05,239712
IBM-5,,1993-06-15,1658364
IMPALA,,2018-02-05,1600000
ISS,,2017-09-15,11100000
ImageBind,,2023-05-09,932000000
Imagen,,2022-05-23,7762000000
Inception v3,,2015-12-02,23626728
Inception-ResNet-V2,,2016-02-23,56000000
Inceptionv4,,2016-02-23,43000000
Incoder-6.7B,,2023-04-09,6700000000
Innervator,,1989-01-01,10
InstructBLIP,,2023-05-11,13000000000
InstructGPT,,2022-01-27,175000000000
InternImage,,2022-11-10,1080000000
InternLM,,2023-07-06,100000000000
Invariant CNN,,2004-06-27,90575
JPMAX,,1994-01-01,4446
Jais,,2023-08-29,13000000000
Jurassic-1-Jumbo,,2021-08-11,178000000000
KEPLER,,2020-11-23,125000000
KN-LM,,2007-06-22,21000000000
KN5 LM + RNN 400/10 (WSJ),,2010-09-26,80000000
KataGo,,2019-02-27,2500000
Kohonen network,,1981-07-25,4096
LDM-1.45B,,2021-12-20,1450000000
LEP-AD,,2023-03-15,3007381000
LISSOM,,1995-11-27,432800
LLaMA-65B,,2023-02-24,65200000000
LLaVA,,2023-04-17,13000000000
LLaVA 1.5,,2023-11-05,13000000000
LMICA,,2004-12-01,4096000
LMS,,1960-06-30,17
LMSI-Palm,,2022-10-20,540000000000
LRCN,,2014-11-07,142552000
LSTM,,1997-11-15,10504
LSTM (2018),,2018-03-04,13000000
"LSTM (Hebbian, Cache, MbPA)",,2018-03-27,45200000
LSTM + dynamic eval,,2017-09-21,50000000
LSTM LM,,2012-01-01,102720000
LSTM with forget gates,,1999-01-02,276
LSTM+NeuralCache,,2018-09-24,2100000
LSTM-300units,,2012-09-01,12000000
LSTM-Char-Large,,2015-08-26,19000000
LTE speaker verification system,,1966-11-01,2061
LUKE,,2020-10-02,484000000
LaMDA,,2022-02-10,137000000000
LaNet-L (CIFAR-10),,2019-06-17,44100000
Large regularized LSTM,,2014-09-08,66000000
LeNet-5,,1998-11-01,60000
Llama 2-70B,,2023-07-18,70000000000
Llama 2-7B,,2023-07-18,70000000000
Llama 3-70B,,2024-04-18,70000000000
Llama 3.1-405B,,2024-07-23,405000000000
Llama Guard,,2023-12-07,7000000000
LongT5,,2021-12-15,3000000000
M4-50B,,2019-10-11,50000000000
M6-T,,2021-03-05,1002700000000
MCDNN (MNIST),,2012-02-13,1994300
MEB,,2021-09-04,135000000000
MLN-ASR,,1988-08-01,10000
MM1-30B,,2024-03-14,30000000000
MMLSTM,,2019-12-05,75000000
MSA Transformer,,2021-02-13,100000000
"MSRA (C, PReLU)",,2015-02-06,87048800
MT-DNN,,2019-01-31,330000000
MUSIC perceptron,,1996-06-03,13607
MV-RNN,,2012-07-12,3510255
Mamba-24M (SC09),,2023-12-01,23400000
