Entity,Code,Year,Private investment in AI in the United States,Global private investment in AI,Private investment in AI in the European Union and United Kingdom,Private investment in AI in China
Medical and healthcare,,2022,4805431247,8499780124,1018492172,1333298843
Medical and healthcare,,2023,2436669942,3735041517,471326668,426861888
Natural Language Processing and customer support,,2017,740657810,1249169142,88436753,254255666
Natural Language Processing and customer support,,2018,895654235,3097021271,183447253,1564697158
Natural Language Processing and customer support,,2019,3550644716,5193480331,360363941,561743791
Natural Language Processing and customer support,,2020,3004828315,4721873067,502549683,774764095
Natural Language Processing and customer support,,2021,11950000000,17760000000,1870000000,2980000000
Natural Language Processing and customer support,,2022,4731359089,8870140914,1361075902,648131382
Natural Language Processing and customer support,,2023,4819982148,7167722529,1058261763,533577360
Quantum computing,,2017,55272971,132655130,,77382159
Quantum computing,,2018,,75537104,0,0
Quantum computing,,2019,84791516,169583031,0,
Quantum computing,,2020,272214412,345502907,10469785,
Quantum computing,,2021,380000000,570000000,,50000000
Quantum computing,,2022,296288632,694426481,0,138885296
Quantum computing,,2023,1636303902,1751912330,71143648,0
Retail,,2017,110545942,187928101,11054594,66327565
Retail,,2018,97119134,172656238,0,64746089
Retail,,2019,31796818,137786213,21197879,74192576
Retail,,2020,157046776,638656889,31409355,397851833
Retail,,2021,480000000,780000000,90000000,90000000
Retail,,2022,564800204,870347856,120367257,46295099
Retail,,2023,311253460,595828051,71143648,106715472
Semiconductor,,2017,33163783,364801608,110545942,187928101
Semiconductor,,2018,172656238,312939432,43164060,43164060
Semiconductor,,2019,169583031,646535306,84791516,243775607
Semiconductor,,2020,481610113,1696105182,732884955,198925916
Semiconductor,,2021,470000000,2230000000,80000000,1250000000
Semiconductor,,2022,1370334922,2453640232,101849217,768498639
Semiconductor,,2023,702543523,1476230695,124501384,560256227
Total,,2013,4210691675,6013612143,616482483,721168187
Total,,2014,7966461649,10942438702,1373527871,766886394
Total,,2015,10632227508,15262391101,903167713,2389393064
Total,,2016,11459421303,19339890338,1309648149,5103111753
Total,,2017,15553814011,28432416231,2686266386,7318141347
Total,,2018,22715086323,46509274133,2956738077,15075047787
Total,,2019,33990798816,61664629720,6232176397,14891509927
Total,,2020,37869212602,67027564025,5643214153,17128568376
Total,,2021,79560000000,132360000000,12550000000,23080000000
Total,,2022,50989421725,95738264144,11860804291,12879296463
Total,,2023,59778450177,85363484565,9782251591,6900933850
Venture capital,,2017,110545942,132655130,11054594,
Venture capital,,2018,53955074,183447253,,118701164
Venture capital,,2019,84791516,169583031,31796818,10598939
Venture capital,,2020,638656889,952750441,10469785,251274842
Venture capital,,2021,850000000,1660000000,0,60000000
Venture capital,,2022,138885296,1166636488,27777059,
Venture capital,,2023,204537988,453540756,0,88929560
